source,target,weight
coupage,tanino,959
ribete,madera,959
frambuesa,fruta,957
sabroso,color,957
granate,intensidad,956
nariz,violáceo,956
nueva,crianza,955
roble,balsámico,954
barrica,cacao,954
cacao,madura,952
acidez,marcada,952
acidez,equilibrado,951
roble,vainilla,951
café,boca,951
tempranillo,uva,951
rojo,volúmen,951
acidez,salud,951
crianza,intensidad,949
acidez,monovarietal,949
acidez,correcto,948
boca,bodega,947
intenso,especia,947
alta,cacao,947
barrica,limpio,946
suave,madura,946
syrah,rojo,946
acidez,persistente,946
nariz,seco,946
francés,volúmen,944
brillante,entrada,944
untuoso,roble,944
elaborado,entrada,943
alta,madera,942
mora,color,940
limpio,roble,939
tanino,marcada,937
persistente,rojo,936
alta,botella,936
aroma,regaliz,936
sedoso,madura,936
rcp,densa,934
boca,ahumado,934
suave,negro,934
picota,madera,934
cabernet,sauvignon,934
picota,uva,933
paladar,fina,932
elegante,capa,932
picota,sedoso,931
mora,tanino,931
vainilla,tempranillo,930
mora,acidez,929
elegante,negro,929
persistente,largo,928
lágrima,regaliz,928
syrah,crianza,927
salud,boca,927
nota,madera,927
arándano,fruta,926
floral,rojo,925
botella,garnacha,924
botella,bodega,923
alta,dulce,922
nota,densa,922
fresco,ribete,922
mineral,barrica,921
aroma,densa,921
persistente,tanino,921
alta,regaliz,921
americano,tempranillo,920
limpio,tostado,920
vainilla,fina,920
picota,regaliz,919
nariz,persistencia,919
untuoso,negro,919
café,color,918
tanino,ciruela,917
sabroso,madura,916
negro,pimienta,915
sedoso,alta,913
tostado,regaliz,912
capa,violáceo,911
picota,paladar,911
especiado,madura,911
nota,garnacha,911
especia,toque,910
chocolate,negro,910
frambuesa,rojo,909
rubí,negro,909
alta,elaborado,908
picota,botella,908
intensidad,persistencia,908
francés,cereza,907
fresco,final,906
color,baja,906
americano,boca,906
pulido,rojo,905
suave,crianza,905
intenso,fina,904
año,tempranillo,903
largo,tempranillo,903
roble,cacao,902
año,madura,902
picota,untuoso,900
año,garnacha,900
coupage,rcp,899
recomendable,capa,899
nota,intensidad,899
francés,largo,898
